 279 0, 2313211, 3474581, 2564680, 1176756, 1925056, 1337753, 965
 280 0, 2313517, 3474651, 2564626, 1177062, 1925126, 1337699, 965
 281 0, 2313780, 3474705, 2564681, 1177325, 1925180, 1337754, 965
 282 0, 2314228, 3474785, 2564497, 1177773, 1925260, 1337570, 965
 283 0, 2314544, 3474896, 2564340, 1178089, 1925371, 1337413, 965
 284 0, 2314905, 3474769, 2563896, 1178450, 1925244, 1336969, 965
 285 0, 2315792, 3478106, 2563304, 1179337, 1928581, 1336377, 966
 286 0, 2316641, 3483933, 2562293, 1180186, 1934408, 1335366, 966
 287 0, 2317150, 3487978, 2561663, 1180695, 1938453, 1334736, 967
 288 0, 2324558, 3490657, 2561705, 1188103, 1941132, 1334778, 970
 289 0, 2377592, 3387129, 2558251, 1241137, 1837604, 1331324, 968
 290 0, 2198354, 2856980, 2343574, 1061899, 1307455, 1116647, 782
 291 0, 1510989, 1944142, 1650214, 374534, 394617, 423287, 272
 292 0, 1147129, 1566145, 1257751, 10674, 16620, 30824, 13
 293 0, 1111967, 1551680, 1224576, -24488, 2155, -2351, -7
 294 0, 1110344, 1551959, 1224609, -26111, 2434, -2318, -7
 295 0, 1110639, 1552149, 1224711, -25816, 2624, -2216, -7
 296 0, 1110835, 1552226, 1224557, -25620, 2701, -2370, -7
 297 0, 1111056, 1552528, 1224683, -25399, 3003, -2244, -7
 298 0, 1110809, 1552752, 1224443, -25646, 3227, -2484, -7
 299 0, 1110825, 1552909, 1224463, -25630, 3384, -2464, -7
 300 0, 1110627, 1552881, 1224424, -25828, 3356, -2503, -7
 301 0, 1110164, 1552906, 1224417, -26291, 3381, -2510, -7
 302 0, 1109158, 1552557, 1224462, -27297, 3032, -2465, -7
 303 0, 1108148, 1552043, 1224700, -28307, 2518, -2227, -8
 304 0, 1130175, 1558430, 1228954, -6280, 8905, 2027, 0
 305 0, 1260735, 1656436, 1301995, 124280, 106911, 75068, 70
 306 0, 1399668, 1742355, 1379963, 263213, 192830, 153036, 143
 307 0, 1565023, 1688915, 1447577, 428568, 139390, 220650, 199
 308 0, 1451315, 1489455, 1561852, 314860, -60070, 334925, 163
 309 0, 1390680, 1490780, 1730848, 254225, -58745, 503921, 187
 310 0, 1664767, 1789951, 2093409, 528312, 240426, 866482, 401
 311 0, 2037260, 2646886, 2397289, 900805, 1097361, 1170362, 716
 312 0, 2203229, 3292633, 2444043, 1066774, 1743108, 1217116, 875
 313 0, 2250380, 3475314, 2447093, 1113925, 1925789, 1220166, 918
 314 0, 2257777, 3475260, 2449078, 1121322, 1925735, 1222151, 920
 315 0, 2258598, 3475004, 2450298, 1122143, 1925479, 1223371, 921
 316 0, 2258243, 3474440, 2450931, 1121788, 1924915, 1224004, 921
 317 0, 2258718, 3474333, 2451001, 1122263, 1924808, 1224074, 921
 318 0, 2258996, 3474053, 2451327, 1122541, 1924528, 1224400, 921
 319 0, 2259043, 3473929, 2451473, 1122588, 1924404, 1224546, 921
 320 0, 2259297, 3473801, 2451620, 1122842, 1924276, 1224693, 921
 321 0, 2259752, 3473919, 2451380, 1123297, 1924394, 1224453, 921
 322 0, 2259793, 3473875, 2451442, 1123338, 1924350, 1224515, 921
 323 0, 2259919, 3473819, 2451504, 1123464, 1924294, 1224577, 921
 324 0, 2260092, 3473911, 2451282, 1123637, 1924386, 1224355, 921
 325 0, 2260284, 3473836, 2451058, 1123829, 1924311, 1224131, 921
 326 0, 2260377, 3474051, 2450739, 1123922, 1924526, 1223812, 921
 327 0, 2260475, 3474279, 2450507, 1124020, 1924754, 1223580, 921
 328 0, 2260587, 3474191, 2450281, 1124132, 1924666, 1223354, 921
 329 0, 2260697, 3474259, 2450298, 1124242, 1924734, 1223371, 921
 330 0, 2260682, 3474317, 2450095, 1124227, 1924792, 1223168, 921
 331 0, 2260508, 3474284, 2449853, 1124053, 1924759, 1222926, 921
 332 0, 2260335, 3474489, 2449438, 1123880, 1924964, 1222511, 921
 333 0, 2260079, 3474311, 2449191, 1123624, 1924786, 1222264, 921
