 w1,w2,w3
 2822418, 1654123, 2117895
 2822278, 1655512, 2117716
 2822434, 1654211, 2117668
 2822285, 1654455, 2117883
 2821494, 1654944, 2117914
 2822012, 1654253, 2117636
 2822128, 1654292, 2117763
 2822373, 1654309, 2117917
 2821899, 1655052, 2118040
 2822438, 1654408, 2117849
 2821979, 1654800, 2117583
 2821718, 1654790, 2117866
 2822036, 1655283, 2117781
 2822243, 1655319, 2117882
 2822258, 1653826, 2117706
 2822360, 1655091, 2117804
 2822269, 1655412, 2118059
 2821765, 1655477, 2117928
 2822201, 1655704, 2118020
 2821656, 1654347, 2117959
 2822138, 1654672, 2117921
 2821863, 1654500, 2117861
 2821722, 1655155, 2117856
 2823052, 1654776, 2117751
 2821870, 1655357, 2117843
 2822383, 1654118, 2117622
 2821792, 1655322, 2117781
 2821828, 1655414, 2117832
 2822261, 1654153, 2117943
 2822273, 1654219, 2117799
 2822099, 1654231, 2117900
 2822187, 1654852, 2117778
 2822225, 1654262, 2117570
 2822487, 1654753, 2117780
 2821595, 1654653, 2118023
 2822160, 1655476, 2117993
 2821956, 1655548, 2118102
 2821783, 1654925, 2117869
 2822301, 1654605, 2118070
 2821602, 1654892, 2117677
 2822259, 1655317, 2117898
 2822017, 1655609, 2117979
 2821995, 1655024, 2117905
 2822439, 1655593, 2117855
 2821827, 1654724, 2118144
 2822509, 1654792, 2117911
 2822057, 1654326, 2117839
 2822219, 1655352, 2118016
 2822654, 1654822, 2117977
 2822010, 1654823, 2117903
 2821965, 1653875, 2117904
 2821816, 1654495, 2118087
 2822530, 1655465, 2117794
 2822622, 1654395, 2117950
 2822019, 1655129, 2118065
 2821897, 1654714, 2117991
 2821888, 1654679, 2117999
 2821768, 1654764, 2117785
 2822091, 1655208, 2117915
 2822193, 1654606, 2117723
 2822251, 1654906, 2117770
 2821992, 1655599, 2118008
 2822408, 1654862, 2118097
 2821718, 1654414, 2118149
 2822395, 1655097, 2117937
 2821824, 1654578, 2118017
 2822093, 1654536, 2117963
 2822227, 1655068, 2117772
 2821995, 1654795, 2118001
 2822391, 1654440, 2117938
 2822160, 1655511, 2117974
 2821968, 1655012, 2117886
 2822167, 1654798, 2118082
 2821723, 1654682, 2117918
 2822633, 1655194, 2118115
 2822106, 1654812, 2118085
 2821948, 1655337, 2117641
 2822185, 1654789, 2117791
 2822466, 1654728, 2117781
 2822147, 1654763, 2118027
 2822658, 1655259, 2118118
 2822274, 1654422, 2117917
 2821776, 1655211, 2118037
 2822228, 1655263, 2118079
 2822193, 1654534, 2117963
 2821818, 1655145, 2118040
 2822216, 1655032, 2117790
 2822063, 1654442, 2117784
 2821772, 1654641, 2117840
 2821402, 1655136, 2118148
 2821849, 1654988, 2117933
 2821947, 1655055, 2118149
 2822317, 1657090, 2117998
 2822352, 1657665, 2118238
 2822180, 1657121, 2118270
 2822263, 1657244, 2118053
 2822085, 1656981, 2118049
 2822777, 1657441, 2118033
 2822097, 1658631, 2118364
 2822533, 1657703, 2118067
 2822063, 1657454, 2118009
 2822567, 1657618, 2118149
 2822616, 1658102, 2118142
 2822097, 1657457, 2118373
 2822309, 1657890, 2118440
 2822112, 1657541, 2118223
 2822154, 1657964, 2117986
 2822288, 1658023, 2118227
 2822089, 1657831, 2117890
 2822444, 1658511, 2118140
 2822738, 1657757, 2118050
 2822877, 1657952, 2118184
 2822506, 1657452, 2118288
 2822429, 1657399, 2118217
 2822219, 1657555, 2118005
 2822641, 1657735, 2118160
 2822740, 1657579, 2118181
 2822425, 1657804, 2118154
 2822440, 1657942, 2118084
 2822569, 1657450, 2118249
 2822755, 1657505, 2118331
 2822629, 1657649, 2118359
 2822532, 1657134, 2118063
 2822102, 1657726, 2118048
 2822802, 1657722, 2118073
 2822540, 1658323, 2117929
 2822410, 1657839, 2118080
 2822175, 1657276, 2118381
 2823042, 1657598, 2118440
 2821927, 1657531, 2118314
 2822673, 1658627, 2118220
 2822800, 1657209, 2118120
 2822521, 1658418, 2118453
 2822210, 1657789, 2118183
 2821904, 1657957, 2118352
 2822218, 1657924, 2117902
 2822311, 1657812, 2118122
 2821940, 1657965, 2118010
 2821622, 1657533, 2118398
 2822012, 1657894, 2118125
 2821892, 1657313, 2118086
 2822972, 1658188, 2118178
 2822737, 1657388, 2118161
 2823377, 1657938, 2118222
 2822931, 1658067, 2118262
 2822439, 1658096, 2118202
 2822456, 1657979, 2118243
 2822367, 1658199, 2117877
 2822721, 1657068, 2118033
 2822445, 1657445, 2118417
 2822447, 1657448, 2118098
 2822053, 1657506, 2117957
 2821970, 1657972, 2118124
 2822202, 1657749, 2118392
 2822215, 1657392, 2117944
 2822217, 1657272, 2118370
 2822199, 1658067, 2118211
 2822817, 1657656, 2118207
 2821940, 1657866, 2118241
 2822392, 1657915, 2118119
 2822046, 1657200, 2118201
 2821862, 1658762, 2118369
 2822128, 1657938, 2118183
 2822564, 1657693, 2118295
 2822414, 1658079, 2118226
 2821807, 1658242, 2118210
 2822370, 1658507, 2118222
 2822575, 1658032, 2118030
 2822603, 1657780, 2118189
 2822231, 1657503, 2118402
 2822670, 1657987, 2118000
 2821374, 1657864, 2118366
 2822700, 1657154, 2118183
 2822452, 1658223, 2118007
 2822547, 1658049, 2118136
 2822210, 1658403, 2118293
 2822368, 1658236, 2118422
 2822451, 1658075, 2118161
 2822115, 1657847, 2118019
 2822308, 1657512, 2117903
